,HPI,Date,InterestDiscount,Avg Mortgage,gdp,Cons. Sentiment Index,cpi,population,employed population,avg house sales price,monthly new houses,new houses authorized,new houses completed,ppi
0,100.0,2000-01-01,5.0,8.21,45983.0,112.0,0.297088532382659,211410,136559,202900.0,4.3,1727.0,1574.0,144.1
1,100.571,2000-02-01,5.24,8.325,,111.3,0.5924170616113771,211576,136598,,4.3,1692.0,1677.0,144.7
2,101.466,2000-03-01,5.34,8.24,,107.1,0.8244994110718371,211772,136701,,4.3,1651.0,1704.0,145.4
3,102.54,2000-04-01,5.5,8.1525,46704.0,109.2,0.058411214953279014,212018,137270,202400.0,4.4,1597.0,1610.0,145.6
4,103.701,2000-05-01,5.71,8.515,,110.7,0.11675423234092301,212242,136630,,4.4,1543.0,1682.0,144.9
5,104.855,2000-06-01,6.0,8.288,,106.4,0.524781341107882,212466,136940,,4.8,1572.0,1530.0,145.0
6,105.721,2000-07-01,6.0,8.1475,46624.0,108.3,0.23201856148492,212677,136531,204100.0,4.1,1542.0,1495.0,144.4
7,106.521,2000-08-01,6.0,8.0275,,107.3,0.0,212916,136662,,4.4,1552.0,1573.0,143.7
8,107.135,2000-09-01,6.0,7.912,,106.8,0.5208333333333119,213163,136893,,4.0,1570.0,1528.0,143.4
9,107.728,2000-10-01,6.0,7.795,46777.0,105.8,0.17271157167531098,213405,137088,212100.0,4.0,1577.0,1513.0,143.3
10,108.29,2000-11-01,6.0,7.745,,107.6,0.0574712643678088,213540,137322,,4.2,1614.0,1539.0,142.7
11,108.791,2000-12-01,6.0,7.382,,98.4,-0.0574382538770748,213736,137614,,3.6,1543.0,1521.0,142.5
12,109.214,2001-01-01,5.52,7.0325,46519.0,94.7,0.632183908045972,213888,137778,211000.0,3.8,1699.0,1456.0,142.0
13,109.641,2001-02-01,5.0,7.05,,90.6,0.39977155910909007,214110,137612,,3.7,1656.0,1536.0,142.4
14,110.394,2001-03-01,4.81,6.952,,91.5,0.22753128555174898,214305,137783,,3.8,1659.0,1470.0,142.4
15,111.247,2001-04-01,4.28,7.0775,46698.0,88.4,0.3972758229285,214525,137299,211200.0,3.9,1666.0,1574.0,142.5
16,112.202,2001-05-01,3.73,7.145,,92.0,0.4522328999434579,214732,137092,,4.0,1665.0,1497.0,144.2
17,113.272,2001-06-01,3.47,7.16,,92.6,0.16882386043895004,214950,136873,,4.2,1626.0,1654.0,144.3
18,114.226,2001-07-01,3.25,7.1275,46390.0,92.4,-0.2808988764044881,215180,137071,207800.0,4.2,1598.0,1582.0,143.4
19,114.987,2001-08-01,3.16,6.95,,91.5,0.0,215420,136241,,4.4,1615.0,1615.0,143.3
20,115.464,2001-09-01,2.77,6.8175,,81.8,0.450704225352114,215665,136846,,4.4,1565.0,1551.0,143.0
21,115.68,2001-10-01,2.02,6.6175,46400.0,82.7,-0.33651149747618,215903,136392,214200.0,4.3,1566.0,1599.0,142.3
22,115.838,2001-11-01,1.58,6.658,,83.9,-0.16882386043893502,216117,136238,,4.1,1651.0,1555.0,142.1
23,116.056,2001-12-01,1.33,7.065,,88.8,-0.39458850056370703,216315,136047,,3.8,1680.0,1693.0,141.7
24,116.437,2002-01-01,1.25,6.9975,46683.0,93.0,0.22637238256932798,216506,135701,227600.0,4.2,1665.0,1632.0,142.0
25,116.917,2002-02-01,1.25,6.8925,,90.7,0.395256916996071,216663,136438,,4.0,1787.0,1671.0,142.2
26,117.929,2002-03-01,1.25,7.014,,95.7,0.562429696287966,216823,136177,,4.1,1691.0,1559.0,143.2
27,119.208,2002-04-01,1.25,6.985,46866.0,93.0,0.559284116331084,217006,136126,227600.0,4.3,1669.0,1625.0,143.5
28,120.788,2002-05-01,1.25,6.806,,96.9,0.0,217198,136539,,4.0,1716.0,1705.0,143.8
29,122.332,2002-06-01,1.25,6.65,,92.4,0.0556173526140231,217407,136415,,4.2,1758.0,1589.0,144.3
30,123.686,2002-07-01,1.25,6.485,46936.0,88.1,0.111172873818774,217630,136413,219100.0,4.2,1738.0,1615.0,144.7
31,124.729,2002-08-01,1.25,6.29,,87.6,0.333148250971684,217866,136705,,4.0,1695.0,1722.0,145.1
32,125.493,2002-09-01,1.25,6.0925,,86.1,0.16602102933039,218107,137302,,3.9,1803.0,1641.0,145.4
33,126.136,2002-10-01,1.25,6.1125,46883.0,80.6,0.165745856353599,218340,137008,232500.0,4.0,1799.0,1601.0,145.0
34,126.642,2002-11-01,0.83,6.068,,84.2,0.0,218548,136521,,4.0,1771.0,1718.0,144.6
35,127.15,2002-12-01,0.75,6.0475,,86.7,-0.220628792057364,218741,136426,,4.0,1896.0,1671.0,144.3
36,127.652,2003-01-01,2.25,5.916,47027.0,82.4,0.442233278054161,219897,137417,233100.0,4.0,1808.0,1654.0,144.4
37,128.326,2003-02-01,2.25,5.8425,,79.9,0.770500825536602,220114,137482,,4.5,1854.0,1688.0,145.2
38,129.308,2003-03-01,2.25,5.745,,77.6,0.600764609502999,220317,137434,,4.1,1757.0,1638.0,145.2
39,130.488,2003-04-01,2.25,5.8125,47342.0,86.0,-0.21715526601518698,220540,137633,241000.0,4.1,1803.0,1662.0,145.9
40,131.839,2003-05-01,2.25,5.484,,92.1,-0.16322089227421901,220768,137544,,3.9,1835.0,1733.0,145.8
41,133.225,2003-06-01,2.0,5.23,,89.7,0.10899182561307902,221014,137790,,3.5,1875.0,1641.0,146.1
42,134.64700000000002,2003-07-01,2.0,5.6325,48012.0,90.9,0.10887316276537899,221252,137474,248100.0,3.6,1885.0,1680.0,147.0
43,135.965,2003-08-01,2.0,6.264,,89.3,0.38064165307231607,221507,137549,,3.5,1966.0,1570.0,147.2
