Table 41: Buying Conditions for Houses
Month,Year,Good time to Buy,Uncertain / Depends,Bad time to Buy,Relative,
1,2000,73,6,21,152,
2,2000,74,5,21,153,
3,2000,72,6,22,150,
4,2000,72,7,21,151,
5,2000,65,6,29,136,
6,2000,61,6,33,128,
7,2000,65,6,29,136,
8,2000,65,8,27,138,
9,2000,69,6,25,144,
10,2000,64,6,30,134,
11,2000,72,8,20,152,
12,2000,66,7,27,139,
1,2001,71,7,22,149,
2,2001,71,7,22,149,
3,2001,70,8,22,148,
4,2001,69,6,25,144,
5,2001,73,8,19,154,
6,2001,79,4,17,162,
7,2001,70,9,21,149,
8,2001,74,6,20,154,
9,2001,72,5,23,149,
10,2001,77,5,18,159,
11,2001,76,9,15,161,
12,2001,82,3,15,167,
1,2002,78,5,17,161,
2,2002,79,6,15,164,
3,2002,78,6,16,162,
4,2002,78,7,15,163,
5,2002,81,5,14,167,
6,2002,72,5,23,149,
7,2002,74,6,20,154,
8,2002,78,7,15,163,
9,2002,77,7,16,161,
10,2002,74,9,17,157,
11,2002,79,7,14,165,
12,2002,80,5,15,165,
1,2003,80,4,16,164,
2,2003,80,5,15,165,
3,2003,75,3,22,153,
4,2003,76,5,19,157,
5,2003,85,5,10,175,
6,2003,82,2,16,166,
7,2003,83,3,14,169,
8,2003,80,5,15,165,
9,2003,77,4,19,158,
10,2003,81,3,16,165,
11,2003,83,4,13,170,
12,2003,80,3,17,163,
1,2004,81,2,17,164,
2,2004,78,2,20,158,
3,2004,81,1,18,163,
4,2004,82,3,15,167,
5,2004,78,4,18,160,
6,2004,79,4,17,162,
7,2004,78,4,18,160,
8,2004,77,2,21,156,
9,2004,79,4,17,162,
10,2004,76,3,21,155,
11,2004,76,3,21,155,
12,2004,78,4,18,160,
1,2005,78,2,20,158,
2,2005,74,3,23,151,
3,2005,74,2,24,150,
4,2005,73,3,24,149,
5,2005,77,2,21,156,
6,2005,71,4,25,146,
7,2005,71,3,26,145,
8,2005,68,4,28,140,
9,2005,64,2,34,130,
10,2005,61,3,36,125,
11,2005,64,2,34,130,
12,2005,60,4,36,124,
1,2006,62,2,36,126,
2,2006,58,3,39,119,
3,2006,61,3,36,125,
4,2006,61,3,36,125,
5,2006,59,3,38,121,
6,2006,61,1,38,123,
7,2006,57,5,38,119,
8,2006,57,3,40,117,
9,2006,57,2,41,116,
10,2006,64,1,35,129,
11,2006,67,0,33,134,
12,2006,64,4,32,132,
1,2007,69,3,28,141,
2,2007,66,1,33,133,
3,2007,67,3,30,137,
4,2007,68,2,30,138,
5,2007,67,1,32,135,
6,2007,65,1,34,131,
7,2007,64,1,35,129,
8,2007,58,2,40,118,
9,2007,60,3,37,123,
10,2007,64,3,33,131,
11,2007,60,2,38,122,
12,2007,63,2,35,128,
1,2008,61,2,37,124,
2,2008,69,2,29,140,
3,2008,63,3,34,129,
4,2008,66,4,30,136,
5,2008,64,2,34,130,
6,2008,65,3,32,133,
7,2008,69,0,31,138,
8,2008,71,4,25,146,
9,2008,69,2,29,140,
10,2008,57,3,40,117,
11,2008,72,1,27,145,
12,2008,65,0,35,130,
1,2009,70,3,27,143,
2,2009,71,4,25,146,
3,2009,69,2,29,140,
4,2009,72,2,26,146,
5,2009,80,2,18,162,
6,2009,77,3,20,157,
7,2009,71,5,24,147,
8,2009,76,4,20,156,
9,2009,76,4,20,156,
10,2009,77,2,21,156,
11,2009,75,4,21,154,
12,2009,74,3,23,151,
1,2010,72,3,25,147,
2,2010,74,3,23,151,
3,2010,77,2,21,156,
4,2010,75,4,21,154,
5,2010,74,2,24,150,
6,2010,76,2,22,154,
7,2010,75,2,23,152,
8,2010,76,2,22,154,
9,2010,73,2,25,148,
10,2010,75,3,22,153,
11,2010,76,2,22,154,
12,2010,73,4,23,150,
1,2011,74,3,23,151,
2,2011,76,2,22,154,
3,2011,78,3,19,159,
4,2011,72,2,26,146,
5,2011,73,3,24,149,
6,2011,72,2,26,146,
7,2011,71,3,26,145,
8,2011,67,1,32,135,
9,2011,71,2,27,144,
10,2011,72,2,26,146,
11,2011,72,2,26,146,
12,2011,74,2,24,150,
1,2012,76,1,23,153,
2,2012,75,2,23,152,
3,2012,77,2,21,156,
4,2012,75,3,22,153,
5,2012,79,2,19,160,
6,2012,78,3,19,159,
7,2012,77,3,20,157,
8,2012,77,3,20,157,
9,2012,82,1,17,165,
10,2012,77,1,22,155,
11,2012,79,3,18,161,
12,2012,78,3,19,159,
1,2013,81,2,17,164,
2,2013,75,4,21,154,
3,2013,79,2,19,160,
4,2013,79,3,18,161,
5,2013,81,2,17,164,
6,2013,83,2,15,168,
7,2013,83,1,16,167,
8,2013,77,1,22,155,
9,2013,76,2,22,154,
10,2013,77,2,21,156,
11,2013,74,2,24,150,
12,2013,82,3,15,167,
1,2014,78,3,19,159,
2,2014,77,4,19,158,
3,2014,75,2,23,152,
4,2014,75,3,22,153,
5,2014,76,2,22,154,
6,2014,76,3,21,155,
7,2014,75,3,22,153,
8,2014,76,3,21,155,
9,2014,75,2,23,152,
10,2014,79,2,19,160,
11,2014,77,2,21,156,
12,2014,83,2,15,168,
1,2015,82,3,15,167,
2,2015,80,4,16,164,
3,2015,75,3,22,153,
4,2015,80,3,17,163,
5,2015,82,2,16,166,
6,2015,78,2,20,158,
7,2015,77,3,20,157,
8,2015,79,1,20,159,
9,2015,77,1,22,155,
10,2015,78,2,20,158,
11,2015,78,2,20,158,
12,2015,77,2,21,156,
1,2016,78,2,20,158,
2,2016,77,1,22,155,
3,2016,76,2,22,154,
4,2016,77,2,21,156,
5,2016,77,2,21,156,
6,2016,76,2,22,154,
7,2016,75,3,22,153,
8,2016,78,1,21,157,
9,2016,76,1,23,153,
10,2016,72,2,26,146,
11,2016,74,1,25,149,
12,2016,73,2,25,148,
1,2017,77,2,21,156,
2,2017,75,1,24,151,
3,2017,74,2,24,150,
4,2017,76,3,21,155,
5,2017,72,1,27,145,
6,2017,70,3,27,143,
7,2017,71,4,25,146,
8,2017,69,2,29,140,
9,2017,68,2,30,138,
10,2017,73,3,24,149,
11,2017,71,2,27,144,
12,2017,69,2,29,140,
1,2018,67,3,30,137,
2,2018,68,3,29,139,
3,2018,69,3,28,141,
4,2018,71,2,27,144,
5,2018,69,2,29,140,
6,2018,67,3,30,137,
7,2018,68,1,31,137,
8,2018,64,3,33,131,
9,2018,69,3,28,141,
10,2018,66,3,31,135,
11,2018,64,4,32,132,
12,2018,64,2,34,130,
1,2019,63,3,34,129,
2,2019,66,2,32,134,
