Table 43: Selling Conditions for Houses
Month,Year,Good time to Sell,Uncertain / Depends,Bad time to Sell,Relative,
1,2000,62,11,27,135,
2,2000,64,9,27,137,
3,2000,68,9,23,145,
4,2000,66,10,24,142,
5,2000,73,8,19,154,
6,2000,72,7,21,151,
7,2000,73,7,20,153,
8,2000,66,8,26,140,
9,2000,65,6,29,136,
10,2000,64,9,27,137,
11,2000,67,7,26,141,
12,2000,59,7,34,125,
1,2001,61,8,31,130,
2,2001,62,9,29,133,
3,2001,63,7,30,133,
4,2001,59,8,33,126,
5,2001,64,12,24,140,
6,2001,62,9,29,133,
7,2001,61,11,28,133,
8,2001,62,9,29,133,
9,2001,50,10,40,110,
10,2001,43,12,45,98,
11,2001,40,7,53,87,
12,2001,49,7,44,105,
1,2002,47,10,43,104,
2,2002,45,8,47,98,
3,2002,54,9,37,117,
4,2002,54,14,32,122,
5,2002,58,9,33,125,
6,2002,58,10,32,126,
7,2002,58,10,32,126,
8,2002,55,11,34,121,
9,2002,60,10,30,130,
10,2002,48,15,37,111,
11,2002,54,12,34,120,
12,2002,54,11,35,119,
1,2003,54,8,38,116,
2,2003,59,7,34,125,
3,2003,53,9,38,115,
4,2003,54,9,37,117,
5,2003,61,7,32,129,
6,2003,60,5,35,125,
7,2003,62,8,30,132,
8,2003,64,6,30,134,
9,2003,61,8,31,130,
10,2003,61,7,32,129,
11,2003,65,5,30,135,
12,2003,66,5,29,137,
1,2004,63,6,31,132,
2,2004,64,6,30,134,
3,2004,73,4,23,150,
4,2004,68,5,27,141,
5,2004,73,4,23,150,
6,2004,73,6,21,152,
7,2004,70,6,24,146,
8,2004,68,6,26,142,
9,2004,65,8,27,138,
10,2004,65,7,28,137,
11,2004,68,6,26,142,
12,2004,63,6,31,132,
1,2005,66,5,29,137,
2,2005,68,9,23,145,
3,2005,67,8,25,142,
4,2005,69,7,24,145,
5,2005,74,5,21,153,
6,2005,71,6,23,148,
7,2005,71,4,25,146,
8,2005,75,5,20,155,
9,2005,71,6,23,148,
10,2005,70,6,24,146,
11,2005,68,2,30,138,
12,2005,64,3,33,131,
1,2006,59,4,37,122,
2,2006,68,3,29,139,
3,2006,64,5,31,133,
4,2006,63,6,31,132,
5,2006,58,4,38,120,
6,2006,56,6,38,118,
7,2006,51,8,41,110,
8,2006,43,4,53,90,
9,2006,41,5,54,87,
10,2006,38,3,59,79,
11,2006,27,2,71,56,
12,2006,30,5,65,65,
1,2007,29,6,65,64,
2,2007,32,4,64,68,
3,2007,36,3,61,75,
4,2007,30,4,66,64,
5,2007,31,4,65,66,
6,2007,34,4,62,72,
7,2007,30,2,68,62,
8,2007,24,2,74,50,
9,2007,21,2,77,44,
10,2007,13,3,84,29,
11,2007,12,3,85,27,
12,2007,14,2,84,30,
1,2008,11,1,88,23,
2,2008,9,2,89,20,
3,2008,9,3,88,21,
4,2008,7,3,90,17,
5,2008,9,2,89,20,
6,2008,8,1,91,17,
7,2008,6,3,91,15,
8,2008,8,2,90,18,
9,2008,7,1,92,15,
10,2008,6,3,91,15,
11,2008,4,1,95,9,
12,2008,4,0,96,8,
1,2009,4,1,95,9,
2,2009,3,2,95,8,
3,2009,4,0,96,8,
4,2009,6,1,93,13,
5,2009,7,2,91,16,
6,2009,8,1,91,17,
7,2009,6,3,91,15,
8,2009,5,1,94,11,
9,2009,9,1,90,19,
10,2009,8,1,91,17,
11,2009,7,2,91,16,
12,2009,6,1,93,13,
1,2010,8,1,91,17,
2,2010,7,2,91,16,
3,2010,8,2,90,18,
4,2010,9,3,88,21,
5,2010,11,3,86,25,
6,2010,11,1,88,23,
7,2010,11,2,87,24,
8,2010,8,1,91,17,
9,2010,6,1,93,13,
10,2010,3,2,95,8,
11,2010,9,1,90,19,
12,2010,6,2,92,14,
1,2011,6,2,92,14,
2,2011,8,1,91,17,
3,2011,6,2,92,14,
4,2011,7,0,93,14,
5,2011,7,2,91,16,
6,2011,8,2,90,18,
7,2011,6,1,93,13,
8,2011,8,0,92,16,
9,2011,8,1,91,17,
10,2011,6,1,93,13,
11,2011,7,1,92,15,
12,2011,9,0,91,18,
1,2012,8,0,92,16,
2,2012,8,1,91,17,
3,2012,7,1,92,15,
